idx,ENCODED_ID
804,rn_B12_24
805,rn_B12_25
806,rn_B12_26
807,rn_B12_27
808,rn_B12_28
809,rn_B12_29
810,rn_B12_3
811,rn_B12_30
812,rn_B12_31
813,rn_B12_32
814,rn_B12_33
815,rn_B12_34
816,rn_B12_35
817,rn_B12_36
818,rn_B12_4
819,rn_B12_5
820,rn_B12_6
821,rn_B12_7
822,rn_B12_8
823,rn_B12_9
824,rn_B13_1
825,rn_B13_10
826,rn_B13_11
827,rn_B13_12
828,rn_B13_13
829,rn_B13_14
830,rn_B13_15
831,rn_B13_16
832,rn_B13_17
833,rn_B13_18
834,rn_B13_19
835,rn_B13_2
836,rn_B13_20
837,rn_B13_21
838,rn_B13_22
839,rn_B13_23
840,rn_B13_24
841,rn_B13_25
842,rn_B13_26
843,rn_B13_27
844,rn_B13_28
845,rn_B13_29
846,rn_B13_3
847,rn_B13_30
848,rn_B13_31
849,rn_B13_32
850,rn_B13_33
851,rn_B13_34
852,rn_B13_35
853,rn_B13_36
854,rn_B13_4
855,rn_B13_5
856,rn_B13_6
857,rn_B13_7
858,rn_B13_8
859,rn_B13_9
860,rn_B14_1
861,rn_B14_10
862,rn_B14_11
863,rn_B14_12
864,rn_B14_13
865,rn_B14_14
866,rn_B14_15
867,rn_B14_16
868,rn_B14_17
869,rn_B14_18
870,rn_B14_19
871,rn_B14_2
872,rn_B14_20
873,rn_B14_21
874,rn_B14_22
875,rn_B14_23
876,rn_B14_24
877,rn_B14_25
878,rn_B14_26
879,rn_B14_27
880,rn_B14_28
881,rn_B14_29
882,rn_B14_3
883,rn_B14_30
884,rn_B14_31
885,rn_B14_32
886,rn_B14_33
887,rn_B14_34
888,rn_B14_35
889,rn_B14_36
890,rn_B14_4
891,rn_B14_5
892,rn_B14_6
893,rn_B14_7
894,rn_B14_8
895,rn_B14_9
896,rn_B15_1
897,rn_B15_10
898,rn_B15_11
899,rn_B15_12
900,rn_B15_13
901,rn_B15_14
902,rn_B15_15
903,rn_B15_16
904,rn_B15_17
905,rn_B15_18
906,rn_B15_19
907,rn_B15_2
908,rn_B15_20
909,rn_B15_21
910,rn_B15_22
911,rn_B15_23
912,rn_B15_24
913,rn_B15_25
914,rn_B15_26
915,rn_B15_27
916,rn_B15_28
917,rn_B15_29
918,rn_B15_3
919,rn_B15_30
920,rn_B15_31
921,rn_B15_32
922,rn_B15_33
923,rn_B15_34
924,rn_B15_35
925,rn_B15_36
926,rn_B15_4
927,rn_B15_5
928,rn_B15_6
929,rn_B15_7
930,rn_B15_8
931,rn_B15_9
932,rn_B16_1
933,rn_B16_10
934,rn_B16_11
935,rn_B16_12
936,rn_B16_13
937,rn_B16_14
938,rn_B16_15
939,rn_B16_16
940,rn_B16_17
941,rn_B16_18
942,rn_B16_19
943,rn_B16_2
944,rn_B16_20
945,rn_B16_21
946,rn_B16_22
947,rn_B16_23
948,rn_B16_24
949,rn_B16_25
950,rn_B16_26
951,rn_B16_27
952,rn_B16_28
953,rn_B16_29
954,rn_B16_3
955,rn_B16_30
956,rn_B16_31
957,rn_B16_32
958,rn_B16_33
959,rn_B16_34
960,rn_B16_35
961,rn_B16_36
962,rn_B16_4
963,rn_B16_5
964,rn_B16_6
965,rn_B16_7
966,rn_B16_8
967,rn_B16_9
968,rn_B17_1
969,rn_B17_10
970,rn_B17_11
971,rn_B17_12
972,rn_B17_13
973,rn_B17_14
974,rn_B17_15
975,rn_B17_16
976,rn_B17_17
